ID Investigación,Código Investigación,Expediente,Tipo producto,Título,Incluir en ficha,Orden,Link inicial,Requiere edición,Link del editable,Link para ficha,% de Avance,Estado de edición,Fecha estimada,Notas
42,ESCUELA DE HOMBRES 03 SISTEMA CAPTURA INFORMACIÓN,,Anexo,Prototipo exploración de actividades,Sí,4,,No,,https://www.prototipos-sicc.com/app/acciones/explorar/1/?,,0 No aplica,,
42,ESCUELA DE HOMBRES 03 SISTEMA CAPTURA INFORMACIÓN,,Carpeta archivos,Carpeta de archivos,No,,,No,,https://drive.google.com/drive/u/0/folders/1xL4P95BEcUrLRkSVmQMVJcyjPLN7aov9,,0 No aplica,,
18,DESPACHO 02 2023 FESTIVAL GABO,202391004200100033E,Informe final,Informe Final de Investigación Festival Gabo,Sí,1,Documento GABO.pptx,Sí,,https://drive.google.com/file/d/1SN80ca6qe3qtS-XEDcnGqTCdvdw9RHCT/view?usp=drive_link,,1 Para editar,16/08,Pendientes ajustes finales.
18,DESPACHO 02 2023 FESTIVAL GABO,202391004200100033E,Informe cuantitativo,Procesamiento festival Gabo,Sí,2,https://drive.google.com/drive/u/0/folders/192AIaxhlKwKn7q7PKqYcaQpsVlcsVA3q,No,,https://drive.google.com/file/d/1r93xl4bKXRXRf8mUpbl3ECueAnsGSLtB/view?usp=drive_link,,,,
18,DESPACHO 02 2023 FESTIVAL GABO,202391004200100033E,Base de datos,Base de datos,Sí,3,https://docs.google.com/spreadsheets/d/1gkT4IwQ0XGMBqQVU8JGg5XZ6HCt0Pjjp/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,No,,https://docs.google.com/spreadsheets/d/1gkT4IwQ0XGMBqQVU8JGg5XZ6HCt0Pjjp/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,,,
18,DESPACHO 02 2023 FESTIVAL GABO,202391004200100033E,Presentación,Presentación Final de Investigación Festival Gabo,Sí,4,Socialización GABO.pptx,No,,https://drive.google.com/file/d/1k7qzWhMfFk6NTmKkn_gUKHqXg37ToJia/view?usp=drive_link,,,,
18,DESPACHO 02 2023 FESTIVAL GABO,202391004200100033E,Anexo,Formulario,Sí,5,https://docs.google.com/spreadsheets/d/1IcaPDWXyfwa6rBOUrMfdyARyBaHPiVAq/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,No,,,,1 Para editar,,Agregar a la ficha
48,SEGURIDAD VIAL 01 MEDICIÓN CICLISTAS,,Informe final,Informe medición seguridad vial,Sí,,,,,,,,,
48,SEGURIDAD VIAL 01 MEDICIÓN CICLISTAS,,Presentación,Presentación de resultados,Sí,,,,,,,,,
48,SEGURIDAD VIAL 01 MEDICIÓN CICLISTAS,,Base de datos,Base de datos Encuesta Asistentes,Sí,,,,,,,,,
24,SCRD UX/UI FOMENTO,,Informe final,Informe final metodología,Sí,1,https://docs.google.com/document/d/1pAcyYBpcBJgdfmSI5_4ByI2z5mXwLz807TxVw882IxA/edit,Sí,,https://docs.google.com/document/d/1pAcyYBpcBJgdfmSI5_4ByI2z5mXwLz807TxVw882IxA/edit,,3 Editado,,
24,SCRD UX/UI FOMENTO,,Anexo,Revisión detallada del proceso,Sí,2,,No,,https://observatoriocultura.github.io/proyectos2023/revision_sicon_2023.html,100,0 No aplica,,
24,SCRD UX/UI FOMENTO,,Anexo,Propuesta de navegación jerárquica y elementos,Sí,3,,No,,https://observatoriocultura.github.io/proyectos2023/revision_sicon_2023_propuesta_1.html,100,0 No aplica,,
24,SCRD UX/UI FOMENTO,,Base de datos,Listado de revisiónes clasificadas,Sí,4,,No,,https://docs.google.com/spreadsheets/d/1idGE2V84NfGbA6zFFVCMVHnzZ37NyfRpgF4s7UiuIMI/edit?usp=drive_link,100,0 No aplica,,
5,FUGA 01 2023 BRONX DISTRITO CREATIVO,,Base de datos,Base de datos anonimizada,Sí,2,Encuesta_Imagen_BRONX_2023_anonimizada.xlsx,,,,,,,
5,FUGA 01 2023 BRONX DISTRITO CREATIVO,,Informe cuantitativo,Tablas y gráficos,Sí,,Procesamiento Estadístico,,,,,,,
5,FUGA 01 2023 BRONX DISTRITO CREATIVO,,Informe final,Bronx Distrito Creativo:Acercamiento al reconocimiento de la marca en Bogotá,Sí,1,"informe final BRONX.docx
Documento Bronx.pptx",Sí,,,,1 Para editar,07/09/2023,socializamos: 7/09/2023
5,FUGA 01 2023 BRONX DISTRITO CREATIVO,,Informe cuantitativo,Informe cuantitativo,Sí,3,Procesamiento Estadístico,,,,,,,
